[arena] using ts::Arena, size=8388608
  iter 1: items=500000 time=0.0137079s  rate=36.4754 M items/s
  iter 2: items=500000 time=0.0116925s  rate=42.7626 M items/s
  iter 3: items=500000 time=0.0121567s  rate=41.1296 M items/s
  iter 4: items=500000 time=0.0111602s  rate=44.8022 M items/s
  iter 5: items=500000 time=0.0125517s  rate=39.8354 M items/s
  iter 6: items=500000 time=0.0110135s  rate=45.3989 M items/s
  iter 7: items=500000 time=0.0115942s  rate=43.1251 M items/s
  iter 8: items=500000 time=0.0156185s  rate=32.0133 M items/s
  iter 9: items=500000 time=0.0122616s  rate=40.7776 M items/s
  iter 10: items=500000 time=0.0121462s  rate=41.1653 M items/s
  iter 11: items=500000 time=0.0108505s  rate=46.0809 M items/s
  iter 12: items=500000 time=0.0137157s  rate=36.4547 M items/s
  iter 13: items=500000 time=0.0108378s  rate=46.1349 M items/s
  iter 14: items=500000 time=0.00994812s  rate=50.2607 M items/s
  iter 15: items=500000 time=0.0100941s  rate=49.5337 M items/s
  iter 16: items=500000 time=0.0149462s  rate=33.4532 M items/s
  iter 17: items=500000 time=0.0149803s  rate=33.3771 M items/s
  iter 18: items=500000 time=0.0172714s  rate=28.9497 M items/s
  iter 19: items=500000 time=0.012131s  rate=41.2167 M items/s
  iter 20: items=500000 time=0.0118047s  rate=42.3561 M items/s
  iter 21: items=500000 time=0.0108877s  rate=45.9235 M items/s
  iter 22: items=500000 time=0.0103177s  rate=48.4605 M items/s
  iter 23: items=500000 time=0.0103517s  rate=48.3013 M items/s
  iter 24: items=500000 time=0.0119128s  rate=41.9718 M items/s
  iter 25: items=500000 time=0.0100978s  rate=49.5157 M items/s
  iter 26: items=500000 time=0.00986992s  rate=50.659 M items/s
  iter 27: items=500000 time=0.00996184s  rate=50.1915 M items/s
  iter 28: items=500000 time=0.00973694s  rate=51.3508 M items/s
  iter 29: items=500000 time=0.00986173s  rate=50.7011 M items/s
  iter 30: items=500000 time=0.0102251s  rate=48.8991 M items/s
  iter 31: items=500000 time=0.0103624s  rate=48.2515 M items/s
  iter 32: items=500000 time=0.0164882s  rate=30.3247 M items/s
  iter 33: items=500000 time=0.0175385s  rate=28.5087 M items/s
  iter 34: items=500000 time=0.0163162s  rate=30.6444 M items/s
  iter 35: items=500000 time=0.0138274s  rate=36.1601 M items/s
  iter 36: items=500000 time=0.0142228s  rate=35.1548 M items/s
  iter 37: items=500000 time=0.0229822s  rate=21.756 M items/s
  iter 38: items=500000 time=0.0208397s  rate=23.9926 M items/s
  iter 39: items=500000 time=0.0148183s  rate=33.742 M items/s
  iter 40: items=500000 time=0.0103381s  rate=48.3649 M items/s
  iter 41: items=500000 time=0.0100884s  rate=49.5621 M items/s
  iter 42: items=500000 time=0.0109788s  rate=45.5422 M items/s
  iter 43: items=500000 time=0.0103702s  rate=48.2151 M items/s
  iter 44: items=500000 time=0.0182569s  rate=27.3869 M items/s
  iter 45: items=500000 time=0.0111194s  rate=44.9663 M items/s
  iter 46: items=500000 time=0.010495s  rate=47.6416 M items/s
  iter 47: items=500000 time=0.0154862s  rate=32.2868 M items/s
  iter 48: items=500000 time=0.0127143s  rate=39.3259 M items/s
  iter 49: items=500000 time=0.0112245s  rate=44.5452 M items/s
  iter 50: items=500000 time=0.011654s  rate=42.9036 M items/s
