
[numeric] samples=1000000 iters=50
  iter 1: ok=1000000 time=0.0379328s  rate=26.3624 M/s
  iter 2: ok=1000000 time=0.039435s  rate=25.3582 M/s
  iter 3: ok=1000000 time=0.020807s  rate=48.0609 M/s
  iter 4: ok=1000000 time=0.0230946s  rate=43.3002 M/s
  iter 5: ok=1000000 time=0.0243134s  rate=41.1296 M/s
  iter 6: ok=1000000 time=0.0325363s  rate=30.7349 M/s
  iter 7: ok=1000000 time=0.0203762s  rate=49.0768 M/s
  iter 8: ok=1000000 time=0.0184295s  rate=54.2607 M/s
  iter 9: ok=1000000 time=0.0177077s  rate=56.4727 M/s
  iter 10: ok=1000000 time=0.0180043s  rate=55.5423 M/s
  iter 11: ok=1000000 time=0.0184858s  rate=54.0956 M/s
  iter 12: ok=1000000 time=0.0201302s  rate=49.6766 M/s
  iter 13: ok=1000000 time=0.019215s  rate=52.0426 M/s
  iter 14: ok=1000000 time=0.0192204s  rate=52.028 M/s
  iter 15: ok=1000000 time=0.0180215s  rate=55.4894 M/s
  iter 16: ok=1000000 time=0.0174037s  rate=57.4589 M/s
  iter 17: ok=1000000 time=0.0236724s  rate=42.2432 M/s
  iter 18: ok=1000000 time=0.0174733s  rate=57.2302 M/s
  iter 19: ok=1000000 time=0.0178651s  rate=55.9752 M/s
  iter 20: ok=1000000 time=0.0186993s  rate=53.478 M/s
  iter 21: ok=1000000 time=0.01839s  rate=54.3773 M/s
  iter 22: ok=1000000 time=0.0183326s  rate=54.5478 M/s
  iter 23: ok=1000000 time=0.0172347s  rate=58.0225 M/s
  iter 24: ok=1000000 time=0.017958s  rate=55.6855 M/s
  iter 25: ok=1000000 time=0.0174856s  rate=57.19 M/s
  iter 26: ok=1000000 time=0.0173363s  rate=57.6823 M/s
  iter 27: ok=1000000 time=0.0175622s  rate=56.9404 M/s
  iter 28: ok=1000000 time=0.0202281s  rate=49.4363 M/s
  iter 29: ok=1000000 time=0.0370124s  rate=27.018 M/s
  iter 30: ok=1000000 time=0.0188674s  rate=53.0016 M/s
  iter 31: ok=1000000 time=0.0276021s  rate=36.2292 M/s
  iter 32: ok=1000000 time=0.0246748s  rate=40.5271 M/s
  iter 33: ok=1000000 time=0.0184674s  rate=54.1495 M/s
  iter 34: ok=1000000 time=0.0188996s  rate=52.9113 M/s
  iter 35: ok=1000000 time=0.0215121s  rate=46.4854 M/s
  iter 36: ok=1000000 time=0.0218068s  rate=45.8573 M/s
  iter 37: ok=1000000 time=0.0207125s  rate=48.28 M/s
  iter 38: ok=1000000 time=0.0203782s  rate=49.072 M/s
  iter 39: ok=1000000 time=0.0176641s  rate=56.6119 M/s
  iter 40: ok=1000000 time=0.0234695s  rate=42.6084 M/s
  iter 41: ok=1000000 time=0.018311s  rate=54.6121 M/s
  iter 42: ok=1000000 time=0.0202882s  rate=49.2897 M/s
  iter 43: ok=1000000 time=0.0198189s  rate=50.4568 M/s
  iter 44: ok=1000000 time=0.0194433s  rate=51.4316 M/s
  iter 45: ok=1000000 time=0.018279s  rate=54.7075 M/s
  iter 46: ok=1000000 time=0.0187681s  rate=53.2819 M/s
  iter 47: ok=1000000 time=0.0196732s  rate=50.8306 M/s
  iter 48: ok=1000000 time=0.0193036s  rate=51.8039 M/s
  iter 49: ok=1000000 time=0.0175813s  rate=56.8787 M/s
  iter 50: ok=1000000 time=0.0179731s  rate=55.6387 M/s

[dates] samples=1000000 iters=50
  iter 1: ok=1000000 time=0.00486345s  rate=205.615 M/s
  iter 2: ok=1000000 time=0.00472266s  rate=211.745 M/s
  iter 3: ok=1000000 time=0.00472626s  rate=211.584 M/s
  iter 4: ok=1000000 time=0.00493293s  rate=202.719 M/s
  iter 5: ok=1000000 time=0.00937879s  rate=106.624 M/s
  iter 6: ok=1000000 time=0.00430113s  rate=232.497 M/s
  iter 7: ok=1000000 time=0.00384536s  rate=260.054 M/s
  iter 8: ok=1000000 time=0.00387319s  rate=258.185 M/s
  iter 9: ok=1000000 time=0.00637289s  rate=156.915 M/s
  iter 10: ok=1000000 time=0.00366507s  rate=272.846 M/s
  iter 11: ok=1000000 time=0.00361942s  rate=276.287 M/s
  iter 12: ok=1000000 time=0.00367609s  rate=272.028 M/s
  iter 13: ok=1000000 time=0.00371373s  rate=269.271 M/s
  iter 14: ok=1000000 time=0.00360233s  rate=277.598 M/s
  iter 15: ok=1000000 time=0.00356311s  rate=280.654 M/s
  iter 16: ok=1000000 time=0.00372001s  rate=268.816 M/s
  iter 17: ok=1000000 time=0.00363952s  rate=274.762 M/s
  iter 18: ok=1000000 time=0.00400484s  rate=249.698 M/s
  iter 19: ok=1000000 time=0.00378008s  rate=264.545 M/s
  iter 20: ok=1000000 time=0.00365243s  rate=273.791 M/s
  iter 21: ok=1000000 time=0.00382042s  rate=261.752 M/s
  iter 22: ok=1000000 time=0.0038175s  rate=261.951 M/s
  iter 23: ok=1000000 time=0.0044948s  rate=222.48 M/s
  iter 24: ok=1000000 time=0.0039688s  rate=251.965 M/s
  iter 25: ok=1000000 time=0.00394152s  rate=253.709 M/s
  iter 26: ok=1000000 time=0.00387431s  rate=258.11 M/s
  iter 27: ok=1000000 time=0.00617308s  rate=161.994 M/s
  iter 28: ok=1000000 time=0.00454067s  rate=220.232 M/s
  iter 29: ok=1000000 time=0.00401429s  rate=249.11 M/s
  iter 30: ok=1000000 time=0.00408167s  rate=244.998 M/s
  iter 31: ok=1000000 time=0.00389257s  rate=256.9 M/s
  iter 32: ok=1000000 time=0.00378533s  rate=264.178 M/s
  iter 33: ok=1000000 time=0.00435209s  rate=229.775 M/s
  iter 34: ok=1000000 time=0.00448397s  rate=223.017 M/s
  iter 35: ok=1000000 time=0.00459422s  rate=217.665 M/s
  iter 36: ok=1000000 time=0.00440125s  rate=227.208 M/s
  iter 37: ok=1000000 time=0.00478932s  rate=208.798 M/s
  iter 38: ok=1000000 time=0.00422829s  rate=236.502 M/s
  iter 39: ok=1000000 time=0.00377963s  rate=264.576 M/s
  iter 40: ok=1000000 time=0.00394281s  rate=253.626 M/s
  iter 41: ok=1000000 time=0.00444061s  rate=225.195 M/s
  iter 42: ok=1000000 time=0.00392828s  rate=254.565 M/s
  iter 43: ok=1000000 time=0.0037298s  rate=268.111 M/s
  iter 44: ok=1000000 time=0.00382264s  rate=261.599 M/s
  iter 45: ok=1000000 time=0.00485827s  rate=205.834 M/s
  iter 46: ok=1000000 time=0.00393575s  rate=254.081 M/s
  iter 47: ok=1000000 time=0.00375428s  rate=266.362 M/s
  iter 48: ok=1000000 time=0.00386626s  rate=258.648 M/s
  iter 49: ok=1000000 time=0.00428433s  rate=233.409 M/s
  iter 50: ok=1000000 time=0.00507862s  rate=196.904 M/s
